년도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2013,1620640,496161,363224,439578,229288,230547,157185,15109,1821303,214931,212860,268053,260395,246635,330983,423864,81028
2014,1661425,500802,365739,442973,246043,248397,173229,23070,1834379,226284,213577,279817,276900,260874,338029,456164,81396
2015,1726687,520591,364364,463685,233875,241390,170473,30950,1898312,222352,213188,279680,264662,246168,345307,450279,83323
2016,1655859,480407,337488,435869,221074,229883,155812,35236,1824976,221592,197668,271446,252607,237337,318803,410180,92193
2017,1571423,467471,333118,411135,216256,227624,147116,47383,1772162,209618,194915,269337,239253,230551,316642,409200,91022
2018,1549937,442854,335400,433706,225108,227632,140576,55000,1871621,220252,213737,282221,257097,232414,318671,395524,95349
2019,1476081,435058,336092,422351,221005,228766,152228,58674,1806296,215965,208831,259584,241523,233271,311082,405561,92030
2020,1642977,506176,364083,460304,232246,243418,149696,65909,1984199,217897,226441,286386,257577,248770,334679,419997,94736
2021,1524430,460226,329080,421714,218771,220496,143554,62827,1885698,210422,210838,273673,229511,228106,314529,388485,91062
2022,1236867,397410,276873,367039,190566,201701,117283,55401,1602108,187370,180218,246174,204547,192301,270822,341758,83717
2023,1238213,375703,301579,390620,171933,188558,122856,54360,1636571,174763,182468,250216,193245,185357,262492,316609,83195